Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Issa Soumaré,sn SEN,"FW,MF",Le Havre,22.0,2000.0,7,3,237,2.6,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,4,4,18,0.0,0.0,0.0,0.0,0.0,0.14,0.24,0.39,0.14,0.39
Saidou Sow,gn GUI,DF,Strasbourg,21.0,2002.0,10,8,719,8.0,0,1,1,0,0,0,2,0,0.3,0.3,0.5,0.8,1,24,0,0.0,0.13,0.13,0.0,0.13,0.04,0.06,0.1,0.04,0.1
Stijn Spierings,nl NED,MF,Toulouse,27.0,1996.0,22,16,"1,516",16.8,0,1,1,0,0,0,5,0,0.4,0.4,0.6,1.0,16,157,22,0.0,0.06,0.06,0.0,0.06,0.02,0.03,0.06,0.02,0.06
Stijn Spierings,nl NED,MF,Lens,27.0,1996.0,4,1,118,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Stambouli,fr FRA,MF,Reims,32.0,1990.0,7,3,286,3.2,0,1,1,0,0,0,4,0,0.1,0.1,0.1,0.2,2,8,2,0.0,0.31,0.31,0.0,0.31,0.02,0.03,0.05,0.02,0.05
Gabriel Suazo,cl CHI,DF,Toulouse,25.0,1997.0,31,27,"2,357",26.2,0,4,4,0,0,0,5,0,0.7,0.7,3.0,3.7,44,114,166,0.0,0.15,0.15,0.0,0.15,0.03,0.12,0.14,0.03,0.14
Abakar Sylla,ci CIV,DF,Strasbourg,20.0,2002.0,22,19,"1,792",19.9,2,0,2,2,0,0,4,0,1.6,1.6,0.5,2.0,8,72,2,0.1,0.0,0.1,0.1,0.1,0.08,0.02,0.1,0.08,0.1
Dembo Sylla,gn GUI,DF,Lorient,20.0,2002.0,1,0,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,6,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21
Issiaga Sylla,gn GUI,"DF,FW",Montpellier,29.0,1994.0,19,17,"1,455",16.2,1,2,3,1,0,0,3,0,1.4,1.4,1.7,3.1,29,43,51,0.06,0.12,0.19,0.06,0.19,0.09,0.11,0.19,0.09,0.19
Musa Al-Taamari,jo JOR,FW,Montpellier,26.0,1997.0,27,24,"1,928",21.4,5,2,7,5,0,0,0,0,3.6,3.6,3.5,7.1,81,54,168,0.23,0.09,0.33,0.23,0.33,0.17,0.16,0.33,0.17,0.33
Nicolás Tagliafico,ar ARG,DF,Lyon,30.0,1992.0,25,25,"2,123",23.6,3,1,4,3,0,0,7,1,2.6,2.6,1.0,3.5,32,105,119,0.13,0.04,0.17,0.13,0.17,0.11,0.04,0.15,0.11,0.15
Montassar Talbi,tn TUN,DF,Lorient,25.0,1998.0,25,25,"2,204",24.5,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,15,88,7,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Oussama Targhalline,ma MAR,MF,Le Havre,21.0,2002.0,14,12,"1,025",11.4,0,0,0,0,0,0,4,1,0.2,0.2,0.4,0.6,27,70,15,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
Enzo Tchato,cm CMR,DF,Montpellier,20.0,2002.0,17,11,"1,125",12.5,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,26,46,57,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05
Arnau Tenas,es ESP,GK,Paris S-G,22.0,2001.0,6,5,529,5.9,0,1,1,0,0,0,0,0,0.0,0.0,0.8,0.8,0,0,0,0.0,0.17,0.17,0.0,0.17,0.0,0.13,0.13,0.0,0.13
Martin Terrier,fr FRA,"FW,MF",Rennes,26.0,1997.0,24,19,"1,527",17.0,7,3,10,7,0,0,2,1,5.2,5.2,2.6,7.8,28,58,112,0.41,0.18,0.59,0.41,0.59,0.31,0.15,0.46,0.31,0.46
Benjamin Tetteh,gh GHA,"FW,MF",Metz,26.0,1997.0,12,1,278,3.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.3,3,6,13,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.11,0.08,0.11
Teddy Teuma,mt MLT,MF,Reims,29.0,1993.0,28,25,"2,113",23.5,6,3,9,5,1,1,7,0,3.1,2.3,3.7,6.0,29,157,112,0.26,0.13,0.38,0.21,0.34,0.13,0.16,0.29,0.1,0.26
Arthur Theate,be BEL,DF,Rennes,23.0,2000.0,28,27,"2,296",25.5,2,0,2,2,0,0,4,0,1.9,1.9,0.8,2.7,33,151,24,0.08,0.0,0.08,0.08,0.08,0.07,0.03,0.11,0.07,0.11
Adrien Thomasson,fr FRA,MF,Lens,29.0,1993.0,29,13,"1,193",13.3,1,2,3,1,0,0,2,1,3.8,3.8,3.9,7.7,20,68,121,0.08,0.15,0.23,0.08,0.23,0.29,0.29,0.58,0.29,0.58
Khéphren Thuram,fr FRA,MF,Nice,22.0,2001.0,27,25,"2,108",23.4,1,1,2,1,0,0,7,0,3.4,3.4,3.7,7.0,67,104,57,0.04,0.04,0.09,0.04,0.09,0.14,0.16,0.3,0.14,0.3
Cheikh Tidiane Sabaly,sn SEN,"FW,MF",Metz,24.0,1999.0,29,17,"1,379",15.3,3,1,4,3,0,0,4,0,2.7,2.7,1.2,3.8,37,36,75,0.2,0.07,0.26,0.2,0.26,0.17,0.08,0.25,0.17,0.25
Jean-Clair Todibo,fr FRA,DF,Nice,23.0,1999.0,30,30,"2,651",29.5,0,2,2,0,0,0,2,1,0.6,0.6,1.6,2.2,32,150,11,0.0,0.07,0.07,0.0,0.07,0.02,0.06,0.08,0.02,0.08
Corentin Tolisso,fr FRA,MF,Lyon,28.0,1994.0,25,21,"1,741",19.3,2,1,3,1,1,1,5,0,3.2,2.4,1.8,4.2,30,153,67,0.1,0.05,0.16,0.05,0.1,0.17,0.09,0.26,0.13,0.22
Abdoulaye Touré,gn GUI,MF,Le Havre,29.0,1994.0,30,27,"2,284",25.4,2,0,2,0,2,2,4,0,3.0,1.4,0.9,2.3,22,148,25,0.08,0.0,0.08,0.0,0.0,0.12,0.04,0.15,0.05,0.09
Souleymane Touré,fr FRA,DF,Lorient,20.0,2003.0,24,23,"2,051",22.8,1,1,2,1,0,0,6,0,1.7,1.7,0.4,2.2,24,73,25,0.04,0.04,0.09,0.04,0.09,0.08,0.02,0.1,0.08,0.1
Bénie Traoré,ci CIV,"FW,MF",Nantes,20.0,2002.0,14,4,504,5.6,0,1,1,0,0,0,1,1,0.7,0.7,0.9,1.6,23,15,45,0.0,0.18,0.18,0.0,0.18,0.13,0.16,0.29,0.13,0.29
Daouda Traoré,fr FRA,MF,Nice,17.0,2006.0,1,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34
Ismaël Traoré,ci CIV,DF,Metz,36.0,1986.0,26,25,"2,220",24.7,2,0,2,2,0,0,2,0,0.8,0.8,0.2,1.0,1,32,1,0.08,0.0,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04
Adrien Truffert,fr FRA,DF,Rennes,21.0,2001.0,30,24,"2,145",23.8,1,2,3,1,0,0,6,0,1.7,1.7,1.8,3.5,51,98,181,0.04,0.08,0.13,0.04,0.13,0.07,0.08,0.15,0.07,0.15
Matthieu Udol,fr FRA,DF,Metz,27.0,1996.0,30,30,"2,700",30.0,3,3,6,3,0,0,5,0,1.4,1.4,3.1,4.5,46,98,86,0.1,0.1,0.2,0.1,0.2,0.05,0.1,0.15,0.05,0.15
Manuel Ugarte Ribeiro,uy URU,MF,Paris S-G,22.0,2001.0,25,21,"1,932",21.5,0,2,2,0,0,0,5,0,0.6,0.6,0.9,1.5,16,87,24,0.0,0.09,0.09,0.0,0.09,0.03,0.04,0.07,0.03,0.07
Samuel Umtiti,fr FRA,DF,Lille,29.0,1993.0,6,2,185,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kévin Van Den Kerkhof,dz ALG,"FW,MF",Metz,27.0,1996.0,29,21,"1,913",21.3,1,2,3,1,0,0,2,0,1.5,1.5,3.5,5.0,65,28,145,0.05,0.09,0.14,0.05,0.14,0.07,0.16,0.24,0.07,0.24
Vanderson,br BRA,DF,Monaco,22.0,2001.0,20,20,"1,641",18.2,3,1,4,3,0,0,6,1,2.1,2.1,1.4,3.5,26,71,129,0.16,0.05,0.22,0.16,0.22,0.12,0.08,0.19,0.12,0.19
Jordan Veretout,fr FRA,MF,Marseille,30.0,1993.0,29,24,"2,183",24.3,1,2,3,1,0,0,4,0,2.9,2.9,5.0,7.9,53,194,81,0.04,0.08,0.12,0.04,0.12,0.12,0.21,0.33,0.12,0.33
Alan Virginius,fr FRA,FW,Lille,20.0,2003.0,2,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Alan Virginius,fr FRA,FW,Clermont Foot,20.0,2003.0,14,12,934,10.4,0,2,2,0,0,0,0,0,1.3,1.3,1.5,2.8,22,21,64,0.0,0.19,0.19,0.0,0.19,0.13,0.15,0.27,0.13,0.27
Vitinha,pt POR,FW,Marseille,23.0,2000.0,18,10,923,10.3,3,2,5,3,0,0,1,0,5.1,5.1,2.9,8.0,15,23,84,0.29,0.2,0.49,0.29,0.49,0.5,0.28,0.78,0.5,0.78
Vitinha,pt POR,MF,Paris S-G,23.0,2000.0,28,23,"2,126",23.6,7,4,11,7,0,0,0,0,3.1,3.1,3.1,6.3,41,182,122,0.3,0.17,0.47,0.3,0.47,0.13,0.13,0.27,0.13,0.27
Elye Wahi,fr FRA,FW,Montpellier,20.0,2003.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,4.23,4.23,0.0,4.23
Elye Wahi,fr FRA,FW,Lens,20.0,2003.0,27,20,"1,692",18.8,9,3,12,8,1,1,10,1,11.5,10.7,2.6,13.4,52,15,171,0.48,0.16,0.64,0.43,0.59,0.61,0.14,0.75,0.57,0.71
Mateusz Wieteska,pl POL,DF,Clermont Foot,26.0,1997.0,2,2,174,1.9,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,6,1,0.52,0.0,0.52,0.52,0.52,0.05,0.0,0.05,0.05,0.05
Josh Wilson-Esbrand,eng ENG,"DF,MF",Reims,20.0,2002.0,11,5,461,5.1,1,1,2,1,0,0,1,0,0.1,0.1,1.0,1.1,11,19,20,0.2,0.2,0.39,0.2,0.39,0.03,0.19,0.21,0.03,0.21
Christopher Wooh,cm CMR,DF,Rennes,21.0,2001.0,18,15,"1,388",15.4,1,0,1,1,0,0,3,1,1.3,1.3,0.7,2.0,8,61,4,0.06,0.0,0.06,0.06,0.06,0.09,0.04,0.13,0.09,0.13
Yusuf Yazıcı,tr TUR,"MF,FW",Lille,26.0,1997.0,27,16,"1,312",14.6,5,2,7,5,0,0,5,0,5.4,5.4,1.9,7.3,31,48,90,0.34,0.14,0.48,0.34,0.48,0.37,0.13,0.5,0.37,0.5
Kelvin Yeboah,it ITA,FW,Montpellier,23.0,2000.0,13,0,276,3.1,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,9,5,25,0.0,0.0,0.0,0.0,0.0,0.15,0.08,0.24,0.15,0.24
Bertuğ Yıldırım,tr TUR,FW,Rennes,21.0,2002.0,21,2,469,5.2,0,1,1,0,0,0,3,0,1.4,1.4,0.7,2.1,9,11,29,0.0,0.19,0.19,0.0,0.19,0.27,0.13,0.4,0.27,0.4
Darlin Yongwa,cm CMR,DF,Lorient,22.0,2000.0,22,11,"1,159",12.9,1,1,2,1,0,0,3,0,0.7,0.7,1.4,2.1,39,43,81,0.08,0.08,0.16,0.08,0.16,0.06,0.1,0.16,0.06,0.16
Leny Yoro,fr FRA,DF,Lille,17.0,2005.0,32,30,"2,673",29.7,2,0,2,2,0,0,5,0,1.5,1.5,0.1,1.7,8,68,3,0.07,0.0,0.07,0.07,0.07,0.05,0.0,0.06,0.05,0.06
Etienne Youte Kinkoue,fr FRA,DF,Le Havre,21.0,2002.0,22,22,"1,941",21.6,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,12,31,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Yoram Zague,fr FRA,DF,Paris S-G,17.0,2006.0,5,4,373,4.1,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,2,13,4,0.24,0.0,0.24,0.24,0.24,0.07,0.11,0.18,0.07,0.18
Warren Zaïre-Emery,fr FRA,"MF,DF",Paris S-G,17.0,2006.0,26,21,"1,962",21.8,2,3,5,2,0,0,4,0,1.4,1.4,3.2,4.5,54,116,90,0.09,0.14,0.23,0.09,0.23,0.06,0.14,0.21,0.06,0.21
Denis Zakaria,ch SUI,"MF,DF",Monaco,26.0,1996.0,25,24,"2,137",23.7,4,0,4,4,0,0,13,2,1.4,1.4,1.1,2.5,27,107,23,0.17,0.0,0.17,0.17,0.17,0.06,0.05,0.11,0.06,0.11
Mehdi Zeffane,dz ALG,"DF,MF",Clermont Foot,31.0,1992.0,23,15,"1,231",13.7,0,0,0,0,0,0,2,0,1.4,1.4,0.4,1.8,14,53,48,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.13,0.1,0.13
Nathan Zeze,fr FRA,DF,Nantes,18.0,2005.0,13,11,"1,022",11.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,30,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Edon Zhegrova,xk KVX,FW,Lille,24.0,1999.0,33,25,"2,288",25.4,6,6,12,6,0,0,3,1,6.2,6.2,6.2,12.4,110,90,322,0.24,0.24,0.47,0.24,0.47,0.24,0.24,0.49,0.24,0.49
Luc Zogbé,ci CIV,DF,Brest,18.0,2005.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil Aberdin,fr FRA,DF,Getafe,20.0,2002.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abner,br BRA,DF,Betis,23.0,2000.0,23,15,"1,400",15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14,33,58,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07
Abdel Abqar,ma MAR,DF,Alavés,24.0,1999.0,27,27,"2,312",25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7,49,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02
Marcos Acuña,ar ARG,DF,Sevilla,31.0,1991.0,21,18,"1,292",14.4,1,2,3,1,0,0,7,0,0.3,0.3,1.5,1.8,23,59,42,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13
Julen Agirrezabala,es ESP,GK,Athletic Club,22.0,2000.0,4,2,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,fr FRA,MF,Sevilla,21.0,2002.0,12,9,777,8.6,0,0,0,0,0,0,3,0,0.9,0.9,0.6,1.5,7,35,9,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17
Joseph Aidoo,gh GHA,DF,Celta Vigo,27.0,1995.0,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,19.0,2004.0,31,17,"1,511",16.8,2,2,4,2,0,0,4,0,3.2,3.2,2.6,5.7,68,45,160,0.12,0.12,0.24,0.12,0.24,0.19,0.15,0.34,0.19,0.34
Sergio Akieme,es ESP,DF,Almería,25.0,1997.0,19,19,"1,675",18.6,2,0,2,2,0,0,2,0,1.2,1.2,2.2,3.3,27,28,72,0.11,0.0,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18
Paul Akouokou,ci CIV,MF,Betis,25.0,1997.0,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Alaba,at AUT,DF,Real Madrid,31.0,1992.0,14,14,"1,154",12.8,0,1,1,0,0,0,2,0,1.0,1.0,0.7,1.6,9,51,13,0.0,0.08,0.08,0.0,0.08,0.08,0.05,0.13,0.08,0.13
Raúl Albiol,es ESP,DF,Villarreal,37.0,1985.0,26,24,"2,031",22.6,0,1,1,0,0,0,6,0,0.4,0.4,0.8,1.3,8,62,0,0.0,0.04,0.04,0.0,0.04,0.02,0.04,0.06,0.02,0.06
Rubén Alcaraz,es ESP,MF,Cádiz,32.0,1991.0,36,36,"3,134",34.8,3,1,4,1,2,2,14,0,3.3,1.7,1.4,3.1,27,154,37,0.09,0.03,0.11,0.03,0.06,0.09,0.04,0.13,0.05,0.09
Omar Alderete,py PAR,DF,Getafe,26.0,1996.0,31,24,"2,195",24.4,0,1,1,0,0,0,8,1,1.2,1.2,1.0,2.2,23,98,9,0.0,0.04,0.04,0.0,0.04,0.05,0.04,0.09,0.05,0.09
Iván Alejo,es ESP,MF,Cádiz,28.0,1995.0,30,21,"1,692",18.8,0,2,2,0,0,0,17,0,0.5,0.5,1.3,1.8,48,31,104,0.0,0.11,0.11,0.0,0.11,0.03,0.07,0.1,0.03,0.1
Carles Aleñá,es ESP,MF,Getafe,25.0,1998.0,29,10,"1,020",11.3,1,1,2,1,0,0,6,0,1.2,1.2,1.6,2.8,12,23,45,0.09,0.09,0.18,0.09,0.18,0.11,0.14,0.25,0.11,0.25
Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,19.0,2004.0,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.18,0.14,0.18
Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,24.0,1999.0,10,2,336,3.7,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,9,7,25,0.27,0.0,0.27,0.27,0.27,0.33,0.1,0.43,0.33,0.43
Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,23.0,2000.0,18,12,965,10.7,2,1,3,2,0,0,0,0,0.6,0.6,1.2,1.8,24,50,33,0.19,0.09,0.28,0.19,0.28,0.05,0.11,0.17,0.05,0.17
Marcos Alonso,es ESP,DF,Barcelona,32.0,1990.0,5,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0.0,0.0,0.0,0.0,0.0,0.03,0.18,0.21,0.03,0.21
Adrià Altimira,es ESP,"DF,MF",Villarreal,22.0,2001.0,11,10,775,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,10,29,15,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02
Sergi Altimira,es ESP,MF,Betis,21.0,2001.0,14,6,568,6.3,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,10,31,8,0.16,0.0,0.16,0.16,0.16,0.03,0.04,0.07,0.03,0.07
Gastón Álvarez,uy URU,DF,Getafe,23.0,2000.0,34,29,"2,537",28.2,2,0,2,2,0,0,7,0,0.7,0.7,0.6,1.4,11,63,40,0.07,0.0,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05
Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,20.0,2003.0,12,8,762,8.5,1,1,2,1,0,0,1,0,1.0,1.0,1.5,2.6,36,34,80,0.12,0.12,0.24,0.12,0.24,0.12,0.18,0.3,0.12,0.3
Yeray Álvarez,es ESP,DF,Athletic Club,28.0,1995.0,19,14,"1,152",12.8,0,0,0,0,0,0,1,1,0.3,0.3,0.1,0.4,13,55,2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Selim Amallah,ma MAR,"FW,MF",Valencia,26.0,1996.0,20,7,604,6.7,0,1,1,0,0,0,5,1,0.4,0.4,0.3,0.8,7,21,36,0.0,0.15,0.15,0.0,0.15,0.06,0.05,0.11,0.06,0.11
Amath,sn SEN,"FW,MF",Mallorca,27.0,1996.0,15,3,394,4.4,0,0,0,0,0,0,2,0,1.6,1.6,0.4,1.9,19,13,30,0.0,0.0,0.0,0.0,0.0,0.35,0.09,0.44,0.35,0.44
Miguel Ángel Rubio,es ESP,DF,Granada,25.0,1998.0,19,17,"1,560",17.3,1,0,1,1,0,0,5,0,0.8,0.8,0.1,0.9,7,27,1,0.06,0.0,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05
Fabrizio Angileri,ar ARG,"DF,MF",Getafe,29.0,1994.0,11,2,164,1.8,0,0,0,0,0,0,2,1,0.0,0.0,1.3,1.3,2,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.73
Mauro Arambarri,uy URU,MF,Getafe,27.0,1995.0,7,3,339,3.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.6,2,20,6,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.15,0.14,0.15
Jon Aramburu,ve VEN,DF,Real Sociedad,21.0,2002.0,11,5,543,6.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,6,26,25,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Julian Araujo,mx MEX,DF,Las Palmas,21.0,2001.0,25,15,"1,462",16.2,1,0,1,1,0,0,5,0,0.7,0.7,1.2,1.9,23,74,47,0.06,0.0,0.06,0.06,0.06,0.04,0.07,0.11,0.04,0.11
Ronald Araújo,uy URU,DF,Barcelona,24.0,1999.0,25,21,"1,997",22.2,1,2,3,1,0,0,6,0,2.1,2.1,1.4,3.5,24,101,11,0.05,0.09,0.14,0.05,0.14,0.09,0.07,0.16,0.09,0.16
Adu Ares,es ESP,FW,Athletic Club,21.0,2001.0,12,2,265,2.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,13,3,39,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Jesús Areso,es ESP,DF,Osasuna,24.0,1999.0,37,29,"2,660",29.6,1,6,7,1,0,0,3,0,0.2,0.2,3.6,3.8,78,106,180,0.03,0.2,0.24,0.03,0.24,0.01,0.12,0.13,0.01,0.13
Matias Arezo,uy URU,FW,Granada,20.0,2002.0,14,3,369,4.1,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.2,6,5,17,0.0,0.0,0.0,0.0,0.0,0.28,0.01,0.3,0.28,0.3
Iñigo Arguibide,es ESP,DF,Osasuna,18.0,2005.0,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Arnaiz,es ESP,"FW,MF",Osasuna,28.0,1995.0,26,9,929,10.3,2,1,3,2,0,0,3,0,1.7,1.7,1.8,3.5,23,11,85,0.19,0.1,0.29,0.19,0.29,0.17,0.17,0.34,0.17,0.34
Sergio Arribas,es ESP,"MF,FW",Almería,21.0,2001.0,34,22,"2,047",22.7,9,4,13,9,0,0,1,0,8.6,8.6,3.7,12.2,56,81,94,0.4,0.18,0.57,0.4,0.57,0.38,0.16,0.54,0.38,0.54
Kepa Arrizabalaga,es ESP,GK,Real Madrid,28.0,1994.0,14,13,"1,198",13.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iago Aspas,es ESP,FW,Celta Vigo,35.0,1987.0,35,31,"2,707",30.1,9,10,19,6,3,5,6,1,11.5,7.5,10.1,17.6,84,161,202,0.3,0.33,0.63,0.2,0.53,0.38,0.34,0.72,0.25,0.59
Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29.0,1994.0,17,10,864,9.6,1,3,4,1,0,0,3,2,2.0,2.0,2.3,4.3,14,39,75,0.1,0.31,0.42,0.1,0.42,0.21,0.24,0.45,0.21,0.45
Ezequiel Ávila,ar ARG,FW,Betis,29.0,1994.0,6,4,298,3.3,1,0,1,1,0,0,4,1,0.7,0.7,0.1,0.8,7,6,31,0.3,0.0,0.3,0.3,0.3,0.22,0.02,0.24,0.22,0.24
César Azpilicueta,es ESP,DF,Atlético Madrid,33.0,1989.0,25,14,"1,423",15.8,0,2,2,0,0,0,4,0,0.6,0.6,2.4,3.0,39,77,39,0.0,0.13,0.13,0.0,0.13,0.04,0.15,0.19,0.04,0.19
Iddrisu Baba,gh GHA,MF,Almería,27.0,1996.0,25,14,"1,430",15.9,0,0,0,0,0,0,5,0,0.7,0.7,0.6,1.3,1,60,5,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08
Srđan Babić,rs SRB,DF,Almería,27.0,1996.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Loïc Bade,fr FRA,DF,Sevilla,23.0,2000.0,28,27,"2,277",25.3,0,1,1,0,0,0,5,1,0.9,0.9,0.5,1.3,15,76,3,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.05,0.04,0.05
Alex Baena,es ESP,"MF,FW",Villarreal,22.0,2001.0,34,33,"2,579",28.7,2,14,16,2,0,1,11,1,7.9,7.1,9.2,16.3,84,165,181,0.07,0.49,0.56,0.07,0.56,0.27,0.32,0.6,0.25,0.57
Eric Bailly,ci CIV,DF,Villarreal,29.0,1994.0,10,9,839,9.3,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,3,18,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Cédric Bakambu,cd COD,FW,Betis,32.0,1991.0,4,2,194,2.2,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,5,4,12,0.0,0.0,0.0,0.0,0.0,0.2,0.13,0.33,0.2,0.33
Alejandro Balde,es ESP,DF,Barcelona,19.0,2003.0,18,15,"1,378",15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,73,41,141,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09
Iván Balliu,al ALB,DF,Rayo Vallecano,31.0,1992.0,33,32,"2,873",31.9,0,1,1,0,0,0,4,0,0.7,0.7,2.6,3.3,50,98,100,0.0,0.03,0.03,0.0,0.03,0.02,0.08,0.1,0.02,0.1
Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,27.0,1996.0,27,24,"1,981",22.0,3,2,5,3,0,0,0,0,3.0,3.0,4.7,7.7,107,80,169,0.14,0.09,0.23,0.14,0.23,0.14,0.21,0.35,0.14,0.35
Léo Baptistão,br BRA,FW,Almería,30.0,1992.0,32,22,"1,837",20.4,6,0,6,6,0,0,6,1,5.3,5.3,1.8,7.1,26,45,88,0.29,0.0,0.29,0.29,0.29,0.25,0.09,0.34,0.25,0.34
